Datetime,PondID,PondCode,Temp,Turb,DO,pH
2021-07-11 02:00:00,IoTPond2,0,24.875,100.0,6.601,7.59384
2021-07-11 02:00:00,IoTPond3,1,24.125,22.0,7.361,7.3124
2021-07-11 02:00:00,IoTpond1,6,24.875,100.0,6.601,7.59384
2021-07-11 02:00:00,IoTPond4,2,25.0625,100.0,3.5675,7.68917
2021-07-11 02:00:00,IoTPond6,3,24.21875,100.0,8.1055,7.77542
2021-07-11 02:00:00,IoTPond7,4,25.375,33.0,0.961,6.94016
2021-07-11 03:00:00,IoTPond7,4,25.25,33.0,0.873,6.94016
2021-07-11 03:00:00,IoTPond2,0,24.8125,100.0,5.722,7.59838
2021-07-11 03:00:00,IoTPond9,5,24.125,99.0,8.562,7.43042
2021-07-11 03:00:00,IoTPond3,1,24.0625,30.0,5.958,7.31694
2021-07-11 03:00:00,IoTpond1,6,24.8125,100.0,5.434,7.59384
2021-07-11 03:00:00,IoTPond6,3,24.125,100.0,7.8475,7.76634
2021-07-11 04:00:00,IoTPond9,5,24.0625,98.0,2.087,7.43042
2021-07-11 04:00:00,IoTPond6,3,24.0625,100.0,6.2075,7.77315
2021-07-11 04:00:00,IoTPond7,4,25.125,33.0,0.849,6.94016
2021-07-11 04:00:00,IoTPond2,0,24.6875,100.0,5.4719999999999995,7.59838
2021-07-11 04:00:00,IoTPond3,1,24.0,28.0,6.99,7.31694
2021-07-11 05:00:00,IoTPond6,3,23.9375,100.0,7.668,7.77542
2021-07-11 05:00:00,IoTPond7,4,25.0625,33.0,1.073,6.94016
2021-07-11 05:00:00,IoTPond9,5,23.9375,98.0,2.499,7.43042
2021-07-11 05:00:00,IoTPond2,0,24.5625,100.0,5.451,7.59838
2021-07-11 05:00:00,IoTPond3,1,23.875,25.0,5.65,7.31694
2021-07-11 06:00:00,IoTPond6,3,23.875,100.0,9.815000000000001,7.77315
2021-07-11 06:00:00,IoTpond1,6,24.5,100.0,5.1765,7.59384
2021-07-11 06:00:00,IoTPond2,0,24.5,100.0,5.9375,7.59384
2021-07-11 06:00:00,IoTPond9,5,23.8125,97.0,2.08,7.41681
2021-07-11 06:00:00,IoTPond3,1,23.8125,33.0,5.08,7.31694
2021-07-11 06:00:00,IoTPond7,4,24.9375,33.0,1.479,6.94016
2021-07-11 07:00:00,IoTPond7,4,24.875,33.0,0.963,6.93108
2021-07-11 07:00:00,IoTpond1,6,24.5,100.0,5.853,7.59384
2021-07-11 07:00:00,IoTPond9,5,23.75,97.0,2.191,7.419074999999999
2021-07-11 07:00:00,IoTPond3,1,23.75,97.0,5.08,7.31694
2021-07-11 07:00:00,IoTPond6,3,23.8125,100.0,4.347,7.76634
2021-07-11 07:00:00,IoTPond2,0,24.5,100.0,5.853,7.59384
2021-07-11 08:00:00,IoTpond1,6,24.4375,100.0,6.592,7.5893
2021-07-11 08:00:00,IoTPond2,0,24.4375,100.0,6.592,7.5893
2021-07-11 08:00:00,IoTPond9,5,23.6875,97.0,3.026,7.41681
2021-07-11 08:00:00,IoTPond7,4,24.875,32.0,1.479,6.922
2021-07-11 08:00:00,IoTPond3,1,23.6875,28.5,8.4265,7.31694
2021-07-11 08:00:00,IoTPond6,3,23.8125,100.0,4.3335,7.75727
2021-07-11 09:00:00,IoTPond7,4,24.875,32.0,2.248,6.90839
2021-07-11 09:00:00,IoTPond9,5,23.6875,96.0,3.459,7.41227
2021-07-11 09:00:00,IoTpond1,6,24.4375,100.0,3.3935,7.58023
2021-07-11 09:00:00,IoTPond3,1,23.6875,31.0,5.57,7.31694
2021-07-11 09:00:00,IoTPond2,0,24.4375,100.0,3.3935,7.58023
2021-07-11 09:00:00,IoTPond6,3,23.875,96.0,3.811,7.74365
2021-07-11 10:00:00,IoTPond6,3,24.0625,95.0,7.1165,7.74365
2021-07-11 10:00:00,IoTpond1,6,24.5,100.0,4.471,7.56434
2021-07-11 10:00:00,IoTPond3,1,23.8125,30.0,5.08,7.31694
2021-07-11 10:00:00,IoTPond2,0,24.5,100.0,4.471,7.56434
2021-07-11 10:00:00,IoTPond9,5,23.75,97.0,4.606,7.40773
2021-07-11 10:00:00,IoTPond7,4,25.0,33.0,1.914,6.90385
2021-07-11 11:00:00,IoTpond1,6,24.625,100.0,7.488,7.55753
2021-07-11 11:00:00,IoTPond3,1,23.9375,93.0,5.08,7.31694
2021-07-11 11:00:00,IoTPond9,5,23.9375,97.0,9.44,7.39411
2021-07-11 11:00:00,IoTPond2,0,24.625,100.0,7.488,7.55753
2021-07-11 11:00:00,IoTPond7,4,25.1875,33.0,4.237,6.89023
